objectid,cdmid,title,contributor_description,curator_description,date,location,subject,collecting_area,contributed_by,photographer,digital_collection,publisher,original_format,rights_and_usage,credit_line,latitude,longitude,format
wfmp00082,17,Sun sets behind smoke,,A thick haze of smoke looms near Raleigh Runnels Memorial Pool the day the Woolsey Fire began,2018-11-09,Firestone Fieldhouse,fires; smoke; sunset; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Abracosa, Matt","Abracosa, Matt",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.039298,-118.709647,image/jpeg
wfmp00009,19,Smoke blankets campus,Taken at 7:30am on the 10th looking towards Payson Library,,2018-11-10,Mullin Town Square; Payson Library,fires; smoke; palms; sun; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Macdonald, Nicole","Macdonald, Nicole",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038831,-118.707205,image/jpeg
wfmp00030,22,Burn area off Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Roadside damage after the fire.,2018-11-20,Decker Canyon Road,fires; ash; canyons; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00058,23,Smoke blankets campus,"Taken from Payson Library, Pepperdine Malibu Campus",,2018-11-10,Payson Library,fires; smoke; students; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038912,-118.706622,image/jpeg
wfmp00068,24,Burned trailer,,Photograph of a burned trailer in the Rho parking lot.,2018-11-20,Rho Lot;,fires; ash; trailers; parking lots; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00063,25,Burn area at Heroes Garden,,The charred remains of Heroes Garden overlooking the campus.,2018-11-19,Drescher Graduate Campus,fires; ash; memorials; gardens; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.046199,-118.713358,image/jpeg
wfmp00002,30,Burn area on Malibu coast,Aerial photograph of Malibu.,Aerial photograph of burn areas on the Malibu coast and surrounding the Pepperdine campus.,2018-11-30,Malibu,fires; smoke; airplanes; aerial photographs; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Knox, Kelsey","Knox, Kelsey",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","  Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00011,31,Smoke billows over athletic fields,,,2018-11-09,Cultural Arts Center;,fires; smoke; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Macdonald, Nicole","Macdonald, Nicole",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.039597,-118.708281,image/jpeg
wfmp00069,32,Burned car,,Burned car in the Rho parking lot.,2018-11-20,Rho Lot;,fires; automobiles; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00073,33,Students evacuate dorms,,Students leave their dorms to go to shelter-in-place locations. Smoke is visible above the mountains in the background.,2018-11-09,Dorm Road,smoke; students; evacuations; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Royster, Kennedy","Royster, Kennedy",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.040267,-118.708522,image/jpeg
wfmp00012,34,Burned home on Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Residential damage after the fire.,2018-11-20,Decker Canyon Road,fires; houses; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00065,36,Burn area above dorms,,,2018-11-19,Dorm Road;,fires; ash; dormitories; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.046199,-118.713358,image/jpeg
wfmp00070,38,John Figueroa in burn area at Heroes Garden,,,2018-11-21,Drescher Graduate Campus,fires; smoke; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.046199,-118.713358,image/jpeg
wfmp00064,39,Burn area below the Law School,,,2018-11-19,Pepperdine School of Law; Rho Lot,fires; ash; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.043485,-118.711818,image/jpeg
wfmp00048,40,Smoke billows over hills,Filmed at Firestone Fieldhouse looking toward Drescher Graduate Campus.,,2018-11-09,Firestone Fieldhouse,fires; smoke; students; mountains; airplanes; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Thomasson, Emma","Thomasson, Emma",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","  Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038786,-118.709673,video/mp4
wfmp00077,41,Students watch fire crest hills,Dozens of students and other evacuees gathered at the windows to watch in awe of the flames creeping over the mountainside.,,2018-11-09,Payson Library,fires; smoke; students; fire engines; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Royster, Kennedy","Royster, Kennedy",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","  Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038912,-118.706622,video/mp4
wfmp00007,42,Malibu Strong poster,"Signs in cafeteria area, possibly related to the Thanksgiving lunch that was held on campus for the community.",,2018-11-26,Tyler Campus Center,posters; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038382,-118.707243,image/jpeg
wfmp00046,43,Sun sets behind smoke,A large cloud of smoke from the fire forms near Raleigh Runnels Memorial Pool the day the Woolsey Fire began.,,2018-11-09,Firestone Fieldhouse,fires; smoke; sunset; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Thomasson, Emma","Thomasson, Emma",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.039298,-118.709647,image/jpeg
wfmp00047,44,Fire crests hills,Taken from Firestone Fieldhouse looking toward Drescher Graduate Campus,,2018-11-09,Firestone Fieldhouse,fires; smoke; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Thomasson, Emma","Thomasson, Emma",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038786,-118.709673,image/jpeg
wfmp00078,45,Smoke approaching campus,Clouds of Smoke covering the sky above Pepperdine.,,2018-11-09,Mullin Town Square,fires; smoke; students; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Abracosa, Matt","Abracosa, Matt",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038831,-118.707205,image/jpeg
wfmp00006,46,Malibu Strong poster,"Signs in cafeteria area, possibly related to the Thanksgiving lunch that was held on campus for the community.",,2018-11-26,Tyler Campus Center,posters; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038382,-118.707243,image/jpeg
wfmp00029,47,Burn area off Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Roadside damage after the fire.,2018-11-20,Decker Canyon Road,fires; ash; canyons; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00008,49,Fire beyond Elkins Auditorium,"Taken at 10:30pm before the flames came over the hillside, looking towards Elkins Auditorium",,2018-11-09,Elkins Auditorium,fires; smoke; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Macdonald, Nicole","Macdonald, Nicole",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.041164,-118.708088,image/jpeg
wfmp00003,50,Burn area surrounding Pepperdine,Aerial photographs of Malibu and Malibou Lake,Aerial photograph of burn areas on the Malibu coast and surrounding the Pepperdine campus.,2018-11-30,Malibu,fires; smoke; airplanes; aerial photographs; mountains; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Knox, Kelsey","Knox, Kelsey",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00061,51,Dog shelters in Firestone Fieldhouse,Firestone Fieldhouse Stairwell,Photograph of a dog sheltering in the Firestone Fieldhouse stairwell.,2018-11-09,Firestone Fieldhouse,evacuations; dogs; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038768,-118.709705,image/jpeg
wfmp00017,52,Burned home on Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Residential damage after the fire.,2018-11-20,Decker Canyon Road,fires; houses; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00041,54,Burn area off Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Roadside damage after the fire.,2018-11-20,Decker Canyon Road;,fires; ash; canyons; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00044,57,Fire in Malibu,Looking towards Malibu from my street in Oak Park.,,2018-11-09,Ventura County; Malibu,fires; smoke; mountains; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Torre, Nicole De La","Torre, Nicole De La",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00076,60,Students shelter in the library,"(Far Left, Isaiah Linsey, Middle, Yahtanae Miles, JayLynne Walsh). My friends and I created a community bed out of the nearby benches in the library. We had to sleep in our masks in attempt to battle off the burning smell of the fire.",,2018-11-09,Payson Library,evacuations; students; libraries; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Royster, Kennedy","Royster, Kennedy",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038912,-118.706622,image/jpeg
wfmp00042,62,Sandbags on hillside below burned home,Some shots of surrounding areas fl near and at the site of our home over weeks and months after fire.,Video of sandbags on the hillside below a burned home.,2019-01-08,Decker Canyon Road;,fires ;houses; rain; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00035,63,Malibu residents fill sandbags,Photo of us at fire station 72 filling up sandbags in preparation for first rainfall post fire.,Colleen and William Mullally.,2018-11-27,Decker Canyon Road,fire stations; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.07697,-118.881267,image/jpeg
wfmp00026,64,Burn area off Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Roadside damage after the fire.,2018-11-20,Decker Canyon Road,fires; ash; canyons; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
